comment,label
excuse me application info error book borrow file open meeting,negative
signup smoothly read borrowed books stuck write download help difficult thank you edit stuck read thank you in front of Ipusnas,positive
app book sometimes stuck good logo,positive
register once login password wrong username valid email reset password email notification email register try reregister email notification using email register send complaint email reply misuh bring,negative
bad login login cool app help,positive
complicated registration failed,negative
good application helps read buys reads physical books in front of the book wishlist feature books interest in reading saves fear of forgetting the title hard to find reading,positive
good book bad system good error good bug,positive
help the spirit of developing the application ready to book,positive
good application suggestions for book collection features what date book update,positive
book notification sound ready,positive
good application less notification of books ready to open the notification application the stock of books appears add to the queue the front of the book collection add thank you,positive
nice add dark mode dark mode phone system app function add dark mode torture app dark mode dark theme function,negative
good application collection of books borrowing a few books likes to queue a lot,positive
easy to know,positive
ok login button click,positive
open error download think think,negative
keep the internet connection application running smoothly the application is good,positive
good book application ready to borrow domicile in jakarta,positive
good internet login response,positive
try to borrow a book borrow stuck the download button press and change the email using the title stuck the download button unstall the app is stuck the download button read try the solution,negative
added the son neptune book by rick riordan about staying the bom series book hoo ipusnas suggestion added a genre filter feature book types are easy to find good notifications appear thank you,positive
thank you developer,positive
sorry list application bete good,positive
books reading books best sellers writing books knowing Ipunas happy to read books free applications queue for books the name of the national library to use in front lots of stock of books flowers interest usual reading,positive
cool science,positive
cool borrow a book bus add a social room chat for editing sorry for the lack of stars the book download read force close uninstall reinstall problem,negative
thank you developer for the application for the nations children to read books,positive
the collection of books is quite complete the book reading application appears to be blinking blinking annoying,negative
feature suggestion highlighter natural constraints queuing system large collection of queuing priority,positive
read feel happy legal application free books applications like logout login need to login facebook front,positive
bad error download borrow read,negative
good application more aware know sometimes like errors quickly finish errors,positive
good error write piled up,positive
source of benefit,positive
nice likes bugs,positive
flower features features missing page marks difficult to read page marks,negative
lineup collection of popular book end science books front view level courtesy of easy pull interface design,positive
great good problem opening fast good day ahead of problems also like the National Library apk please help the National Library of Indonesia digital version thank you,positive
category book category book scroll book search book thank you,positive
read steel book read book pdf free download read ipusnas book complete app book,positive
good apk reread good books,positive
good application good book support dark background read dark like it hurts,positive
I hope that in the future the ISpusnas application uses a loan delete the queuing system the queuing system add borrowing try to imagine the Indonesian people read and be more aware of queuing,positive
good help complete book,positive
application is difficult to login password according to email password fails good signal good error borrowing books,negative
edit the recommendation of the book under the title open well theme thank you developer suggestion thank you,positive
benefits like app,positive
digital library runs smoothly the notification level appears the book appears in line the limit remember the book page forget to read the book the page appears fresh simple the contents of borrowing books books come back just notification read motivation,positive
thank you developer team development application benefits free access good book recommendations Ipusnas men mars women venus wonder deep work respect myself dead book expert malcolm gladwell front of good book english version indonesian community literacy level,positive
help login,positive
good its hard to log in,positive
comfortable reading,positive
good application for reading attached letters,positive
sorry star login account enter email write valid email email send email account email ipusnas response solution thank you,positive
good year talking star,positive
good app read yesterday pr developer net good test youtube smoothly save relief rom gb pass email change national library,positive
good book,positive
curl paper transition apply stuck novel read read good hd,positive
its good to read chase the dreams of the sky thank you so much,positive
the application displays the freeze start page,positive
sorry for the account list valid username email appears,negative
nice app thank you,positive
good application books pull suggestions varied written novels choose notebooks feature books religious books select read pull cool remnants sustainable literacy culture,positive
cool app help,positive
the ipusnas development team likes to read cellphone books,positive
cool front,positive
screenshot feature children like to read good book quotes,positive
fast disturbing service book collection,negative
after the bug update its better to have a bug yesterdays version,positive
complete book collection good good bug error application good,positive
ipusnas is ready to return the clock book feature sometimes books can be borrowed according to interest,positive
cool application add insight,positive
good reading books for blind children thank you,positive
complete novel star religion spiritual like,positive
Sorry I have prepared the Ipusnas book content format read clothing for the blind all features menu title description book access just fill in the book help thank you,positive
complicated verification email failed the email link for the verification code is valid personal data,negative
sad bug read back force close the national pussy,negative
nation benefits,positive
linguistics book thank you,positive
borrowed books are just lost download notes are lost good annoying,negative
love to read stars,positive
good collection,positive
hard list email,negative
good application add comics pictures of children read reviews help literacy,positive
