final_trans,compound_score,sentiments
excuse me application info error book borrow file open meeting,-0.34,negative
signup smoothly read borrowed books stuck write download help difficult thank you edit stuck read thank you in front of Ipusnas,0.296,positive
app book sometimes stuck good logo,0.2263,positive
register once login password wrong username valid email reset password email notification email register try reregister email notification using email register send complaint email reply misuh bring,-0.6486,negative
bad login login cool app help,0.128,positive
complicated registration failed,-0.5106,negative
good application helps read buys reads physical books in front of the book wishlist feature books interest in reading saves fear of forgetting the title hard to find reading,0.5994,positive
good book bad system good error good bug,0.3612,positive
help the spirit of developing the application ready to book,0.7096,positive
good application suggestions for book collection features what date book update,0.4404,positive
book notification sound ready,0.3612,positive
good application less notification of books ready to open the notification application the stock of books appears add to the queue the front of the book collection add thank you,0.7845,positive
nice add dark mode dark mode phone system app function add dark mode torture app dark mode dark theme function,-0.2732,negative
good application collection of books borrowing a few books likes to queue a lot,0.6908,positive
easy to know,0.4404,positive
ok login button click,0.296,positive
open error download think think,-0.4019,negative
keep the internet connection application running smoothly the application is good,0.4404,positive
good book application ready to borrow domicile in jakarta,0.6597,positive
good internet login response,0.4404,positive
try to borrow a book borrow stuck the download button press and change the email using the title stuck the download button unstall the app is stuck the download button read try the solution,-0.4019,negative
added the son neptune book by rick riordan about staying the bom series book hoo ipusnas suggestion added a genre filter feature book types are easy to find good notifications appear thank you,0.8074,positive
thank you developer,0.3612,positive
sorry list application bete good,0.3818,positive
books reading books best sellers writing books knowing Ipunas happy to read books free applications queue for books the name of the national library to use in front lots of stock of books flowers interest usual reading,0.9349,positive
cool science,0.3182,positive
cool borrow a book bus add a social room chat for editing sorry for the lack of stars the book download read force close uninstall reinstall problem,-0.4588,negative
thank you developer for the application for the nations children to read books,0.3612,positive
the collection of books is quite complete the book reading application appears to be blinking blinking annoying,-0.4019,negative
feature suggestion highlighter natural constraints queuing system large collection of queuing priority,0.3612,positive
read feel happy legal application free books applications like logout login need to login facebook front,0.875,positive
bad error download borrow read,-0.7351,negative
good application more aware know sometimes like errors quickly finish errors,0.1531,positive
good error write piled up,0.0516,positive
source of benefit,0.4588,positive
nice likes bugs,0.6808,positive
flower features features missing page marks difficult to read page marks,-0.5719,negative
lineup collection of popular book end science books front view level courtesy of easy pull interface design,0.802,positive
great good problem opening fast good day ahead of problems also like the National Library apk please help the National Library of Indonesia digital version thank you,0.926,positive
category book category book scroll book search book thank you,0.3612,positive
read steel book read book pdf free download read ipusnas book complete app book,0.5106,positive
good apk reread good books,0.7003,positive
good application good book support dark background read dark like it hurts,0.7845,positive
I hope that in the future the ISpusnas application uses a loan delete the queuing system the queuing system add borrowing try to imagine the Indonesian people read and be more aware of queuing,0.4404,positive
good help complete book,0.6808,positive
application is difficult to login password according to email password fails good signal good error borrowing books,-0.296,negative
edit the recommendation of the book under the title open well theme thank you developer suggestion thank you,0.7269,positive
benefits like app,0.6249,positive
digital library runs smoothly the notification level appears the book appears in line the limit remember the book page forget to read the book the page appears fresh simple the contents of borrowing books books come back just notification read motivation,0.4215,positive
thank you developer team development application benefits free access good book recommendations Ipusnas men mars women venus wonder deep work respect myself dead book expert malcolm gladwell front of good book english version indonesian community literacy level,0.9001,positive
help login,0.4019,positive
good its hard to log in,0.3612,positive
comfortable reading,0.5106,positive
good application for reading attached letters,0.4404,positive
sorry star login account enter email write valid email email send email account email ipusnas response solution thank you,0.5423,positive
good year talking star,0.4404,positive
good app read yesterday pr developer net good test youtube smoothly save relief rom gb pass email change national library,0.9022,positive
good book,0.4404,positive
curl paper transition apply stuck novel read read good hd,0.4939,positive
its good to read chase the dreams of the sky thank you so much,0.7964,positive
the application displays the freeze start page,0.0516,positive
sorry for the account list valid username email appears,-0.0772,negative
nice app thank you,0.6486,positive
good application books pull suggestions varied written novels choose notebooks feature books religious books select read pull cool remnants sustainable literacy culture,0.6369,positive
cool app help,0.6124,positive
the ipusnas development team likes to read cellphone books,0.4215,positive
cool front,0.3182,positive
screenshot feature children like to read good book quotes,0.6597,positive
fast disturbing service book collection,-0.5106,negative
after the bug update its better to have a bug yesterdays version,0.4404,positive
complete book collection good good bug error application good,0.7184,positive
ipusnas is ready to return the clock book feature sometimes books can be borrowed according to interest,0.6705,positive
cool application add insight,0.3182,positive
good reading books for blind children thank you,0.4019,positive
complete novel star religion spiritual like,0.5859,positive
Sorry I have prepared the Ipusnas book content format read clothing for the blind all features menu title description book access just fill in the book help thank you,0.4767,positive
complicated verification email failed the email link for the verification code is valid personal data,-0.5106,negative
sad bug read back force close the national pussy,-0.4767,negative
nation benefits,0.3818,positive
linguistics book thank you,0.3612,positive
borrowed books are just lost download notes are lost good annoying,-0.5267,negative
love to read stars,0.6369,positive
good collection,0.4404,positive
hard list email,-0.1027,negative
good application add comics pictures of children read reviews help literacy,0.6808,positive
good book its good enough to know that there is not enough net loading download books read offline disappointed good,0.6249,positive
read the book stuck download icon due to good developer reading book bug Ipusnas application thank you,0.5267,positive
good application suitable for reading really love the book novel,0.8655,positive
good apk benefits of papers using book sources sorry lots of good account signals,0.7964,positive
good book notification ready just waiting in line to borrow the stock out of stock pop up notification book title is ready,0.7845,positive
the application creates a stable application command bug open the borrow book force close good,0.7351,positive
error developer fast response server down problem thank you,-0.4404,negative
login update internet net version is good good,0.7003,positive
its good that the notification of queuing for cellphone books is on Ipusnas is ready for notifications,0.6597,positive
good application pr developer comments posted good connection application appears permission notification active notification book waiting ready notification message appears book cover loading according to title sure please be prepared update page thick,0.9382,positive
good sometimes book error opens,0.0516,positive
reset password web error,-0.4019,negative
thank you ebook help collection of islamic economic ebook good job,0.7964,positive
good borrow and borrow,0.4404,positive
the price star of the app helps hobbies reads suggestions enters the app smoothly opens alias loading limit reads reads finishes reading scroll thank you ipusnas,0.6249,positive
web error loading,-0.4019,negative
ain online books thanksgiving applications support the literacy level of the Indonesian people people are waiting to read the intentions of the spirit of Indonesia thank you National Library,0.7096,positive
bright valid username email registration,0.4404,positive
likes Ipusnas reads and teaches stories likes stars,0.6808,positive
help parents accompany their children,0.4019,positive
application bugs interfere with scrolling pages bugs in dark mode light mode constantly changing overall helping with college assignments,0.296,positive
ask read a book click borrow a book click download work on a paper how to make an error,-0.4019,negative
lots of cool books lots of books in line,0.3182,positive
good application suggestions for adding dark mode features easily tired,0.34,positive
the star for the maintenance application interferes with the application helps find reference sources for reading materials,0.3818,positive
application benefits add favorite button download favorite download book,0.8225,positive
comfortable using ipusnas willing to stand in line so ipusnas at home read yesterdays instagram review ipusnas account register password yesterday yesterday login to instagram ipusnas help read,0.7184,positive
download the book borrowing application failed to help,-0.1531,negative
sorry stars like to read strange updates cook links valid emails try uninstalling uninstalling solutions,0.2732,positive
the benefits of reading free books live in remote corners thank you the Indonesian National Library,0.8126,positive
error add device account,-0.4019,negative
please read the login log book,0.3182,positive
Error borrowing server maintenance item hold failed really good,-0.4228,negative
severe update application good connection failed book download ipusnas lost star function download star,-0.6486,negative
Ipusnas is good quite complete the ebook collection is back the fox book at least open it read it go back wait for hours,0.4404,positive
ugly book cover pull read,-0.5106,negative
good application read books suggestions add school textbooks thank you ipusnas,0.6597,positive
Applications that help with logout errors,0.0772,positive
error appears new modern monochrome,-0.4019,negative
student lecturer finished rereading the free love book wrong,0.6597,positive
login confirmation retry facebook email ipusnas application login application stop suddenly response follow up ipusnas application needs lecture thank you,0.0772,positive
ask different offline mode online mode,-0.128,negative
