at,userName,score,content
2022-05-24 00:42:07,Hafidh Mubashir,2,Keluar sendiri tolong diperbaiki
2022-05-23 13:59:51,Arif Billah,3,"Permisi admin sekedar info, aplikasi ini eror. buku yang saya pinjam filenya tidak ditemukan, jadi tidak bisa dibuka 🙏"
2022-05-23 06:34:23,Evalinda Wibowo,4,"Saya sudah signup dgn lancar. Kemudian ketika saya akan membaca buku (sy berhasil meminjam) saya hanya stuck ditulisan download.... Mohon bantuannya, karena ini sangat mempersulit saya. Terimakasih. *Edit: setelah 1 hari, saya sudh tidak stuck lagi sudah bisa membaca... Terimakasih, semoga kedepannya lebih baik lagi iPusnas"
2022-05-22 17:19:14,Michael Sihombing,1,"BUKUNYA OKELAH,TAPI APP NYA KEK SAMPAH KADANG GAK ADA MASALAH STUCK AJA DI LOGA NYA GITU. BAGUSLAH OI"
2022-05-22 14:28:24,clover clover,1,"sdh daftar, sekalinya login gk bisa, yg passwordnya salah lah, username atau email gk valid lah, mau atur ulang kata sandi eh gk masuk2 jg emailnya, malah ada jg pemberitahuan email gk terdaftar lah jyaan jan gk jelas tenan, nyoba daftar ulang eh ada pemberitahuan juga email sdh dipakai(TADI KATANYA EMAIL GK TERDAFTAR) maunya gimana si, ngirim keluhan lewat email jg g ada balasan, bikin pingin misuh aja bawaannya"
2022-05-21 14:56:43,Viep _,3,"Buruqnya karna aku ga bisa log in lagii. Kenapa ya??? Tapi kalo bisa log in, ini aplikasinya keren banget dan sangat sangat membantu."
2022-05-21 10:02:19,0041 I Wayan Manik Setia Mariawan,1,"ribet banget cara registrasi, gagal terus"
2022-05-20 07:02:02,Syandria Laila,4,"Aplikasinya bagus dan membantu banget untuk pembaca yang belum sempat membeli dan membaca buku fisiknya. Semoga kedepannya ada fitur wishlist, supaya buku-buku yang 'baru mau'/minat untuk dibaca bisa disimpan dengan baik dan gak takut bakal lupa judul atau susah nyari nanti waktu bener-bener ada waktu buat baca :)."
2022-05-19 14:44:15,Elizabeth Petra Sembiring,1,"Buku2nya sudah bagus tapi sistemnya masih jelek, masih sering error. Tolong perbaiki . 2022: ngebug aja terus ,kpn diperbaikin"
2022-05-19 01:47:25,MUH. AZQHARY HARIS,5,Administrasi Ok
2022-05-18 18:09:19,Mulyana,5,Sangat membantu semangat terus untuk mengembangkan aplikasi ini menjadi lebih baik lagi dan menyediakan lebih banyak e-book lagi.
2022-05-18 11:51:40,Nurul Aenii,4,good
2022-05-18 07:38:02,nurul sulaiman,5,Aplikasi yg bgs. Boleh kasih saran untuk menambahkan fitur koleksi buku terbaru biar bisa update buku baru apa saja yg ada dan dr tgl berapanya.
2022-05-18 01:18:56,yogi satria,1,Burikk
2022-05-17 16:22:17,Maqhfirotur Rohmatillah,4,Bagaimana cara membunyikan notifikasi ketika buku sudah tersedia ?
2022-05-16 13:42:16,rain Shorty,1,KENAPA SAYA TIDAK BISA MENGUNDUH BUKU?! PADAHAL STATUSNYA SAYA BISA MEMINJAM BUKU TERSEBUT?
2022-05-16 12:38:29,Avidyan Suryani,3,"Menurut Saya aplikasi ini bagus, tapi masih ada beberapa kekurangan. Misalnya, tidak ada notifikasi saat buku tersedia. Masa harus buka aplikasinya dulu baru notifikasinya muncul. Dan tolong untuk stok bukunya ditambah lagi, biar antri bukunya tidak panjang dan kelamaan. Satu lagi, tolong untuk kedepannya koleksi buku²nya ditambah lagi ya. Terima kasih"
2022-05-16 08:51:15,Yudi Suryawan,5,Bagus cuma tambahin mode gelap saja karena mode gelap sistem dari Handphone tidak bisa berfungsi pada aplikasi jadi mohon tambahi mode gelap biar tidak terlalu menyiksa atau kayaknya aplikasi ini ada mode gelap/tema gelap tapi tidak berfungsi dengan baik
2022-05-16 00:57:15,MICA VANESSA,4,"Aplikasinya bagus. Koleksi bukunya juga banyak. Tapi sih, menurut aku kuota untuk peminjam buku dikit, jadi suka ngantri lama. Bisa dibanyakin lagi dong min"
2022-05-16 00:03:34,M. Zainuddin,1,Tdk bisa login
2022-05-15 04:53:27,ngas iban,1,Akun tiba tiba keluar sendiri dan ketika mau login gak bisa padahal udah coba reset password dan ketika mencoba menulis password malah ada tulisan email tidak valid
2022-05-15 02:46:12,Aksya Anillah,5,Memudahkan kita untuk menambah pengetahuan
2022-05-14 06:02:23,Aji Nomoto,2,Bukunya ngga bisa di download
2022-05-14 05:18:27,Dan Ros,1,Tidak bisa login
2022-05-14 05:05:27,Roni Febri,1,"Tolong diperbaiki,mau login tombol selanjutnya gak bisa di klik!!"
2022-05-13 10:49:36,Sandy Yudha Prawira,1,Tidak bisa dibuka eror Buat yang mau download harap pikir pikir dulu
2022-05-13 09:23:33,Bdan Sakuro,5,Sangat membntu
2022-05-13 00:25:00,Farida Hz,1,Gak bisa login gimana ni?pakai email gak bisa. Pakai Facebook cuma mental. Pakai email web nya gak bisa dibuka
2022-05-12 13:37:46,Yuni Anti,1,Aku kasih bintang satu dulu.🙏Kok aku nggak bisa pinjem bukunya ya? Pas aku ketik buku yang aku cari malah nggak bisa masuk/baca
2022-05-12 10:51:23,Shinta Mariana,2,"Saat mau masuk terus menerus keluar sendiri dari aplikasi, padahal koneksi internet lancar saat digunakan untuk aplikasi lain. Harap segera diperbaiki."
2022-05-12 10:08:09,Asih Triani,4,"Udah bagus kok aplikasinya, cuman, ada beberapa buku yang tidak tersedia dan hanya dapat dipinjam untuk yang berdomisili di Jakarta."
2022-05-12 05:36:19,Sidik,5,Mantap
2022-05-11 17:09:23,Roffi Anatta,1,respon saat log-in sgt lama pdhl internet bagus .
2022-05-11 17:02:28,Dwi Novita Kumalasari,2,"Saat saya hendak membaca buku selalu keluar, padahal saya sudah install uninstall berkali kali"
2022-05-11 12:37:20,Stwbrydv,2,"Nyoba pinjem buku trs pas udah pinjem stuck ke tombol download, udh saya pencet berkali kali tapi tetap ga bisa. Udh saya ganti email juga ga bisa bisa. Saya juga pakai judul lain tapi sama aja, tetap stuck tombol download. Udh unistall aplikasi juga tetap stuck di tombol download ga bisa dibaca. Saya udh nyoba 3 harian tapi tetap ga bisa. Tolong solusinya"
