score,content,English
2,Keluar sendiri tolong diperbaiki,Come out alone please fix
3,"Permisi admin sekedar info, aplikasi ini eror. buku yang saya pinjam filenya tidak ditemukan, jadi tidak bisa dibuka 🙏","Excuse me admin just for info, this application has an error. The book I borrowed couldn't find the file, so I couldn't open it 🙏"
4,"Saya sudah signup dgn lancar. Kemudian ketika saya akan membaca buku (sy berhasil meminjam) saya hanya stuck ditulisan download.... Mohon bantuannya, karena ini sangat mempersulit saya. Terimakasih. *Edit: setelah 1 hari, saya sudh tidak stuck lagi sudah bisa membaca... Terimakasih, semoga kedepannya lebih baik lagi iPusnas","I have signed up smoothly. Then when I was going to read a book (I managed to borrow it) I was just stuck writing download.... Please help, because this is very difficult for me. Thank you. *Edit: after 1 day, I'm not stuck anymore, I can read... Thank you, I hope iPusnas will be better in the future"
1,"BUKUNYA OKELAH,TAPI APP NYA KEK SAMPAH KADANG GAK ADA MASALAH STUCK AJA DI LOGA NYA GITU. BAGUSLAH OI","THE BOOK IS OK, BUT THE APP IS GARBAGE SOMETIMES THERE'S NO PROBLEM ONLY STICKING ON THE LOGO. GOOD OI"
1,"sdh daftar, sekalinya login gk bisa, yg passwordnya salah lah, username atau email gk valid lah, mau atur ulang kata sandi eh gk masuk2 jg emailnya, malah ada jg pemberitahuan email gk terdaftar lah jyaan jan gk jelas tenan, nyoba daftar ulang eh ada pemberitahuan juga email sdh dipakai(TADI KATANYA EMAIL GK TERDAFTAR) maunya gimana si, ngirim keluhan lewat email jg g ada balasan, bikin pingin misuh aja bawaannya","I have registered, I can't login once, the password is wrong, the username or email is not valid, I want to reset my password, but the email doesn't come in, there's even a notification that the email wasn't registered, it's not clear, really, I tried to register again. notification is also that the email has been used (it said the EMAIL wasn't registered) what do you want, I sent a complaint via email, there was no reply, just wanted to delete the default"
3,"Buruqnya karna aku ga bisa log in lagii. Kenapa ya??? Tapi kalo bisa log in, ini aplikasinya keren banget dan sangat sangat membantu.","The bad thing is that I can't log in anymore. I wonder why??? But if you can log in, this application is really cool and very very helpful."
1,"ribet banget cara registrasi, gagal terus","It's very complicated how to register, it keeps failing"
4,"Aplikasinya bagus dan membantu banget untuk pembaca yang belum sempat membeli dan membaca buku fisiknya. Semoga kedepannya ada fitur wishlist, supaya buku-buku yang 'baru mau'/minat untuk dibaca bisa disimpan dengan baik dan gak takut bakal lupa judul atau susah nyari nanti waktu bener-bener ada waktu buat baca :).","The application is good and very helpful for readers who have not had time to buy and read the physical book. Hopefully in the future there will be a wishlist feature, so that books that 'just want'/interested to read can be stored properly and don't be afraid to forget the title or find it hard to find later when you really have time to read :)."
1,"Buku2nya sudah bagus tapi sistemnya masih jelek, masih sering error. Tolong perbaiki . 2022: ngebug aja terus ,kpn diperbaikin","The books are good, but the system is still bad, there are still errors. Please fix . 2022: just keep on bugging, when will it be fixed"
5,Administrasi Ok,Administration Ok
5,Sangat membantu semangat terus untuk mengembangkan aplikasi ini menjadi lebih baik lagi dan menyediakan lebih banyak e-book lagi.,It really helps the spirit to continue to develop this application to be even better and provide more e-books.
4,good,good
5,Aplikasi yg bgs. Boleh kasih saran untuk menambahkan fitur koleksi buku terbaru biar bisa update buku baru apa saja yg ada dan dr tgl berapanya.,Great application. Can you give me a suggestion to add the latest book collection feature so I can update what new books are there and from what date.
1,Burikk,Burikk
